# Testing Hostname: bgio297
# Processors: 32 MsgLen 64 Repeats: 100
# ProcName1:rank   ProcName2:rank   AvgCommTime(usecs) StdDev
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <6,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 014       9.79    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <7,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 015       9.53    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <0,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 016       9.50    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <1,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 017       9.33    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <2,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 018       9.06    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <3,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 019       9.28    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <4,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 020       9.48    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <5,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 021       9.71    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <6,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 022       9.92    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <7,2,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 023       9.74    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <0,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 024       9.74    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <1,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 025       9.48    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <2,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 026       9.24    0.00
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <3,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 027       9.48    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <4,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 028       9.69    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <5,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 029       9.86    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <6,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 030      10.11    0.01
Processor <2,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 002  Processor <7,3,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 031       9.89    0.01
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003       0.00    0.00
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <4,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 004       8.89    0.01
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <5,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 005       9.07    0.00
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <6,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 006       9.26    0.01
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <7,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 007       9.50    0.01
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <0,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 008       9.54    0.01
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <1,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 009       9.29    0.01
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <2,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 010       9.04    0.01
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <3,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 011       8.88    0.00
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <4,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 012       9.10    0.01
Processor <3,0,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 003  Processor <5,1,0,0> in a <8, 8, 8, 2> torusX=1, torusY=1, torusZ=1 013       9.32    0.01
